Category,General,Financial,Fundraising,,,,,,,,,,,,,,,,,,,,,,
Lead,Chair,Treasurer,,,,,,,,,,,,,,,,,,,,,,,
July,- Annual planning meeting,- Prepare prior year annual reports - Proposed upcoming year budget,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,
September,- Annual parent meeting,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,
November,,- Donation in lieu of popcorn billing,,,,,,,,,,,,,,,,,,,,,,,
December,,- Charter renewal,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,
May,- Parent annual skills / program survey,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
More Info,,,,,,,,,,,,,,,,,,,,,,,,,
